    t     y_estimated_euler    y_exact  
   0.00000000       0.00000000       0.00000000    
   9.99999978E-03   4.99999970E-02   4.87676263E-02
   1.99999996E-02   9.74999964E-02   9.51374173E-02
   2.99999993E-02  0.142604992      0.139210045    
   3.99999991E-02  0.185416237      0.181080937    
   4.99999970E-02  0.226031363      0.220842779    
   5.99999949E-02  0.264544457      0.258585095    
   6.99999928E-02  0.301046252      0.294394314    
   7.99999908E-02  0.335624218      0.328352213    
   8.99999887E-02  0.368362606      0.360540271    
   9.99999866E-02  0.399342597      0.391034961    
  0.109999985      0.428642452      0.419911742    
  0.119999982      0.456337541      0.447240889    
  0.129999980      0.482500464      0.473092318    
  0.139999986      0.507201135      0.497532129    
  0.149999991      0.530506909      0.520626187    
  0.159999996      0.552482605      0.542433679    
  0.170000002      0.573190689      0.563016355    
  0.180000007      0.592691183      0.582430601    
  0.190000013      0.611041903      0.600731909    
  0.200000018      0.628298521      0.617973387    
  0.210000023      0.644514561      0.634206176    
  0.220000029      0.659741461      0.649479389    
  0.230000034      0.674028754      0.663839877    
  0.240000039      0.687424064      0.677334845    
  0.250000030      0.699973166      0.690006793    
  0.260000020      0.711720109      0.701898277    
  0.270000011      0.722707093      0.713049889    
  0.280000001      0.732974768      0.723500669    
  0.289999992      0.742562175      0.733287632    
  0.299999982      0.751506805      0.742447555    
  0.309999973      0.759844601      0.751013994    
  0.319999963      0.767610133      0.759020925    
  0.329999954      0.774836540      0.766499937    
  0.339999944      0.781555653      0.773481905    
  0.349999934      0.787797928      0.779995859    
  0.359999925      0.793592632      0.786070108    
  0.369999915      0.798967838      0.791731715    
  0.379999906      0.803950369      0.797006607    
  0.389999896      0.808566034      0.801919818    
  0.399999887      0.812839448      0.806494832    
  0.409999877      0.816794276      0.810754597    
  0.419999868      0.820453048      0.814720929    
  0.429999858      0.823837399      0.818414927    
  0.439999849      0.826968014      0.821856320    
  0.449999839      0.829864681      0.825064361    
  0.459999830      0.832546294      0.828057408    
